,Category,Rating,Reviews,Type,Price,Content Rating,Android Ver,Update Days,Influence,Installs
2078,FAMILY,3.8,10366.0,0,0.0,Everyone,4,194.0,10.581287565481992,1000000.0
2079,FAMILY,4.5,47644.0,0,0.0,Everyone,4,248.0,12.275589379777065,1000000.0
2080,FAMILY,4.1,530792.0,0,0.0,Everyone,V,249.0,14.593112483446822,10000000.0
2081,FAMILY,4.8,12137.0,0,0.0,Everyone 10+,4,181.0,10.972629835020207,100000.0
2082,FAMILY,3.9,237.0,0,0.0,Everyone,4,206.0,6.829036694270732,100000.0
2083,FAMILY,4.5,6404.0,0,0.0,Everyone,4,202.0,10.268755470892879,500000.0
2084,FAMILY,4.4,6356.0,0,0.0,Everyone,4,214.0,10.238759068580823,500000.0
2085,FAMILY,4.3,169.0,1,2.99,Everyone,4,254.0,6.58851373762259,5000.0
2086,FAMILY,4.2,8.0,1,3.99,Everyone,4,209.0,3.5145260669691587,1000.0
2087,FAMILY,3.0,2.0,1,2.99,Everyone,4,223.0,1.791759469228055,500.0
2091,FAMILY,4.7,48701.0,0,0.0,Everyone,4,257.0,12.341017351456781,10000000.0
2092,FAMILY,4.1,15246.0,0,0.0,Everyone,4,571.0,11.04305942625848,1000000.0
2093,FAMILY,4.5,520654.0,0,0.0,Everyone,4,220.0,14.666918389409116,10000000.0
2094,FAMILY,4.5,4076.0,0,0.0,Everyone,4,186.0,9.81694879111889,100000.0
2095,FAMILY,4.5,530904.0,0,0.0,Everyone,2,566.0,14.686413889695242,10000000.0
2096,FAMILY,4.6,106750.0,0,0.0,Everyone,4,219.0,13.10430123458592,1000000.0
2097,FAMILY,4.3,33785.0,0,0.0,Everyone,4,410.0,11.886387218685792,5000000.0
2098,FAMILY,4.3,4207.0,0,0.0,Everyone,4,521.0,9.803120106290038,500000.0
2099,FAMILY,4.5,58795.0,0,0.0,Everyone,4,258.0,12.48588949303379,10000000.0
2100,FAMILY,4.2,3235.0,0,0.0,Everyone,4,228.0,9.516868732224324,1000000.0
2101,FAMILY,4.2,47031.0,0,0.0,Everyone,4,188.0,12.193646763025964,1000000.0
2102,FAMILY,4.4,131.0,0,0.0,Everyone,4,235.0,6.356801864125367,100000.0
2103,FAMILY,4.5,114.0,0,0.0,Everyone,4,235.0,6.240275845170769,50000.0
2104,FAMILY,4.1,673203.0,0,0.0,Everyone,4,380.0,14.830789171327107,50000000.0
2105,FAMILY,4.2,2178.0,0,0.0,Everyone,4,529.0,9.121246828782228,500000.0
2106,FAMILY,4.1,175625.0,0,0.0,Everyone,4,438.0,13.48709329278041,10000000.0
2107,FAMILY,4.7,8508.0,0,0.0,Everyone 10+,4,185.0,10.59632468503614,500000.0
2108,FAMILY,4.3,3484.0,0,0.0,Everyone,4,698.0,9.61455136067191,1000000.0
2109,FAMILY,4.4,379415.0,0,0.0,Everyone,4,222.0,14.327990412735382,10000000.0
2110,FAMILY,4.4,19245.0,0,0.0,Everyone,4,312.0,11.346611106642062,1000000.0
2112,FAMILY,4.3,24877.0,0,0.0,Everyone,4,228.0,11.580313983504292,5000000.0
2113,FAMILY,4.4,765.0,0,0.0,Everyone,2,745.0,8.121480374750751,1000000.0
2114,FAMILY,4.3,10088.0,0,0.0,Everyone,4,332.0,10.677716900344272,1000000.0
2115,FAMILY,4.3,525552.0,0,0.0,Everyone,2,476.0,14.630819440480833,10000000.0
2116,FAMILY,4.2,3762.0,0,0.0,Everyone,4,216.0,9.6677905351503,1000000.0
2117,FAMILY,4.2,141363.0,0,0.0,Everyone,2,378.0,13.294170854468573,10000000.0
2118,FAMILY,4.3,472584.0,0,0.0,Everyone,4,185.0,14.524585810592633,10000000.0
